,Sno,Song ID,Song Name,Artist Name,Album Name,Release Date,Acousticness,Dancebility,Song Duration,Energy,Instrumentalness,Key,Liveliness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Popularity,Genre
9027,9027,1vNdvKfEtoAiaDVPnY38Dm,Little Kandi Raver 2012,S3RL,Little Kandi Raver 2012,29-08-2012,0.000557,0.568,255955,0.986,3.00E-05,1,0.3,-2.016,1,0.0684,175.058,4,0.494,40,happy
9065,9065,7LHrwoTDiASsfXm58OGirc,Maria (I Like It Loud),Scooter,20 Years of Hardcore (Remastered),11-10-2013,0.000407,0.533,222105,0.995,0.143,8,0.938,-3.292,1,0.11,142.959,4,0.468,55,happy
9125,9125,694DLdlWtk26a6pyaf1vMi,In Hardstyle We Trust - Melody Mix,The Prophet,In Hardstyle We Trust (Melody Mix),05-05-2022,0.0413,0.571,235009,0.95,0.000218,11,0.35,-1.643,0,0.127,155.058,4,0.315,46,happy
9531,9531,1hZ4cceHRuuptVjbu58PNI,Earth B♭,S3RL,Earth B♭,05-09-2018,0.03,0.491,213707,0.997,0.00201,10,0.385,-2.16,1,0.392,174.928,4,0.336,23,happy
9528,9528,23RntUU4rX7sf7dU3INDal,Dominatin' - Original Mix,The Prophet,The Hardcore Archive Part 1 (1993 - 1994),23-09-2022,6.64E-05,0.456,208606,0.95,0.893,10,0.508,-4.99,0,0.039,190.82,4,0.155,37,happy
9855,9855,1rkTnxHyHN9LAjG4Kzofwl,DYSYLM,Monstercat,Monstercat Uncaged Vol. 10,09-11-2020,0.0102,0.531,176051,0.878,0.201,7,0.169,-3.933,0,0.215,169.963,4,0.385,15,happy
9468,9468,2ZkJvZv7KEIewdcWnyVMMh,Neon Hearts,Darren Styles,Neon Hearts,21-07-2020,0.00422,0.497,208500,0.852,0.000217,6,0.155,-4.548,0,0.0786,160.193,4,0.127,31,happy
9902,9902,21dQNF8DrxW5xmfmE9HYwi,Galleriet 2015,S3RL,Galleriet 2015,15-04-2015,0.0025,0.557,175621,0.977,0.0218,7,0.111,-1.593,1,0.112,175.007,4,0.464,18,happy
9563,9563,51nHdcfjCbzCCsjIk6KcBe,Module - Original Mix,Various Artists,Hardcore Addiction 6,01-09-2014,0.000435,0.417,125813,0.991,0.887,11,0.224,-3.929,0,0.178,181.235,4,0.227,22,happy
9913,9913,69KTc0uzMsamTTCwyUcYSe,Bam Bam - F. Noize Remix,Anime,Gangsters Remixes,26-05-2022,0.0762,0.535,204000,0.994,0.466,1,0.411,0.589,1,0.0739,99.957,4,0.109,31,happy
9048,9048,09KVvb0849JV9TRFpTiY0l,Paul Is Dead,Scooter,Paul Is Dead,27-11-2020,0.33,0.504,174291,0.891,8.65E-06,6,0.191,-4.175,0,0.126,169.886,4,0.295,56,happy
9099,9099,56BBkFOvo0iS2sHoNVHWoD,Sube,Dj Promo,Sube,2020,0.119,0.726,119175,0.573,0.78,4,0.0679,-12.809,0,0.0468,104.958,4,0.398,30,happy
9941,9941,77AP1Am52Lx71jRPtMcqlU,Let's Move Some,Various Artists,Happy Hardcore Top 100,17-05-2010,0.000203,0.633,287033,0.933,0.786,8,0.154,-3.258,0,0.0706,174.945,4,0.353,22,happy
9412,9412,5QuijDiGczLdSYJCgbN86z,DJ Whore - Dimitri K Remix,Dimitri K,Boombox EP,11-08-2022,0.000573,0.687,223203,0.902,0.127,0,0.457,-3.168,1,0.204,100.098,4,0.326,41,happy
9591,9591,7mR64Nl2SpFgiblHxV6SsY,Jiiieehaaaa,Diss Reaction,Emanon Vol. 1,01-02-1995,0.0078,0.6,259611,0.916,0.879,7,0.199,-6.6,1,0.0564,175.002,4,0.038,39,happy
9470,9470,2PVqPbRv7mlCp2JYzDeMsc,Rainbow In The Sky - K & A's Radio Blast,Paul Elstak,The Best Of Paul Elstak Top 20,29-04-2011,0.000125,0.475,213112,0.941,0.0102,1,0.276,-7.042,0,0.0345,167.973,4,0.262,53,happy
9123,9123,6FhsHPJdTXdQqheU4YYklN,Punch the Gas,Brisk,Punch the Gas,02-12-2020,0.00265,0.571,234250,0.993,0.3,6,0.0903,-1.388,0,0.221,174.994,4,0.486,36,happy
9241,9241,7ma2fbKDEvJeGJAx0YedAs,Turn It Up (Original Mix) - Extended Mix,The Prophet,The Hardcore Archive Part 3 (1997),21-10-2022,0.0022,0.5,272187,0.915,0.924,7,0.0971,-3.85,1,0.0492,94.893,4,0.0778,2,happy
9963,9963,7lw9yYGbqcHOupg7WdxrdU,Goodbye My Friend,Scott Brown,Hardcore Heaven 4,11-10-2011,9.09E-05,0.459,267920,0.926,0.567,0,0.31,-6.187,1,0.0571,171.994,4,0.327,21,happy
9036,9036,3HjmdK69N8hal2kZLIx6GS,Get It Crackin - Sefa Remix,Re-Style,Get It Crackin (Sefa Remix),22-05-2018,0.0137,0.472,188400,0.929,0.0262,1,0.166,-4.439,1,0.0412,100.035,1,0.0663,57,happy
9062,9062,5TnngBGEvrYJJtOG5cv1V8,Die Alone,Anime,Die Alone,21-01-2021,0.0682,0.339,233587,0.95,3.81E-06,6,0.103,-2.805,0,0.448,185.091,4,0.0951,46,happy
9665,9665,6rnOUCqT6YOxX2ZAiuYVnN,Let There Be Hardstyle,DJ Isaac,Let There Be Hardstyle,14-03-2018,0.00637,0.437,196800,0.983,0.769,6,0.426,-1.296,0,0.112,149.979,4,0.393,28,happy
9449,9449,0FQo4BZckLXDHrihvXwpkd,My Girlfriend is a Raver - DJ Edit,S3RL,My Girlfriend is a Raver,05-06-2019,0.0625,0.574,272171,0.894,2.93E-05,8,0.396,-2.815,1,0.352,175.123,4,0.441,28,happy
9901,9901,0Y8jeNsHyq92aaxmiXjSTg,Adrenalized 2016 (feat. Lexi),S3RL,Adrenalized 2016 (feat. Lexi),28-08-2015,0.00973,0.571,188362,0.978,1.31E-06,7,0.0911,-1.776,1,0.18,164.936,4,0.693,16,happy
9197,9197,2HwaW41CoQrjA5wZIUbXf2,Lunatic - Original Mix - Slow Break,The Prophet,The Hardcore Archive Part 3 (1997),21-10-2022,0.00158,0.789,195765,0.704,0.326,11,0.515,-5.219,0,0.16,95.008,4,0.149,6,happy
9320,9320,53cp6h6Jp2XvagSl2o9WJl,When I Die (Bury Me a Raver) [feat. Razor Sharp & Krystal],S3RL,When I Die (Bury Me a Raver) [feat. Razor Sharp & Krystal],05-08-2015,0.00359,0.467,205017,0.99,0.0164,1,0.126,-1.69,1,0.131,175.014,4,0.251,28,happy
