Sno,Song ID,Song Name,Artist Name,Album Name,Release Date,Accousticness,Dancebility,Song Duration,Energy,Instrumentalness,Key,Liveliness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Popularity,Genre
0,1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,12-05-2008,0.559,0.703,242946,0.444,0,11,0.0973,-9.331,1,0.0417,150.96,4,0.712,80,acoustic
1,5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,Hold On,03-02-2017,0.469,0.618,198853,0.443,0,2,0.0829,-9.681,1,0.0526,119.949,4,0.167,82,acoustic
2,38YgZVHPWOWsKrsCXz6JyP,Come On Get Higher,Matt Nathanson,Some Mad Hope,01-01-2007,0.241,0.672,215173,0.623,0,9,0.0848,-5.699,1,0.0297,92.018,4,0.617,70,acoustic
3,7jIAttgQTpLDoNtykIQXjH,Blister In The Sun,Violent Femmes,Violent Femmes,01-01-1983,0.316,0.726,145706,0.537,0,0,0.0707,-8.896,1,0.114,96.889,4,0.882,70,acoustic
4,4E6cwWJWZw2zWf7VFbH7wf,Love Song,Sara Bareilles,Little Voice,03-07-2007,0.0208,0.583,258826,0.786,0,2,0.188,-3.142,0,0.0301,123.055,4,0.573,73,acoustic
5,53QF56cjZA9RTuuMZDrSA6,I Won't Give Up,Jason Mraz,Love Is a Four Letter Word (Deluxe Edition),13-04-2012,0.694,0.483,240165,0.303,0,4,0.115,-10.058,1,0.0429,133.406,3,0.139,70,acoustic
6,0IktbUcnAGrvD03AWnz3Q8,Lucky,Jason Mraz,We Sing. We Dance. We Steal Things.,12-05-2008,0.294,0.625,189613,0.414,0,0,0.151,-8.7,1,0.0369,130.088,4,0.669,73,acoustic
7,6Uy6K3KdmUdAfelUp0SeXn,Brave,Sara Bareilles,The Blessed Unrest,16-07-2013,0.00502,0.551,220573,0.836,2.10E-05,10,0.0425,-3.838,0,0.0524,185.063,4,0.758,70,acoustic
8,1jyddn36UN4tVsJGtaJfem,You Are the Best Thing,Ray LaMontagne,Gossip In The Grain,13-10-2008,0.0304,0.578,231840,0.727,1.99E-05,10,0.172,-4.872,1,0.0332,170.593,4,0.885,66,acoustic
9,5SuOikwiRyPMVoIQDJUgSV,Comedy,Gen Hoshino,Comedy,08-04-2022,0.0322,0.676,230666,0.461,1.01E-06,1,0.358,-6.746,0,0.143,87.917,4,0.715,72,acoustic
10,6dwkFmLUz6hx2CZG2EqLol,Collide,Howie Day,Stop All The World Now,07-10-2003,0.222,0.636,249120,0.625,5.35E-05,11,0.119,-7.895,1,0.0277,93.931,4,0.342,66,acoustic
11,07m8PuXxxv5J4qPEDq6ZkK,Brand New,Ben Rector,Brand New,28-08-2015,0.00268,0.555,243933,0.934,0,9,0.122,-5.04,1,0.113,144.874,4,0.422,64,acoustic
12,3TwtrR1yNLY1PMPsrGQpOp,Superman (It's Not Easy),Five For Fighting,America Town,26-09-2000,0.0733,0.382,221693,0.416,0,0,0.0719,-9.303,1,0.0302,102.089,4,0.125,70,acoustic
13,3sLhMSePzxSrmxluIqeoAZ,I Put a Spell On You,Screamin' Jay Hawkins,At Home with Screamin' Jay Hawkins,1958,0.59,0.733,144866,0.399,0.0254,10,0.0766,-12.086,0,0.094,173.781,3,0.9,64,acoustic
14,5auMzVHFr5Zfw6IbKarZ56,Breathe (2 AM),Anna Nalick,Wreck of the Day,2005,0.417,0.386,279826,0.452,0,2,0.0881,-7.715,1,0.0278,169.837,3,0.287,64,acoustic
15,6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,Various Artists,Crazy Rich Asians (Original Motion Picture Soundtrack),10-08-2018,0.905,0.266,201933,0.0596,7.07E-05,0,0.132,-18.515,1,0.0363,181.74,3,0.143,70,acoustic
16,2lFlveK1y13WWp3vnQtrr3,100 Years,Five For Fighting,The Battle for Everything,2003,0.544,0.643,244600,0.569,2.17E-05,7,0.178,-7.459,1,0.0276,120.507,4,0.275,66,acoustic
17,2fSIF8CJhoc9CJhF9vJDXp,Jolene,Ray LaMontagne,Trouble,15-08-2004,0.863,0.588,250866,0.142,0.000162,7,0.0953,-15.196,1,0.0329,119.656,4,0.288,63,acoustic
18,5p9XWUdvbUzmPCukOmwoU3,Suddenly I See,KT Tunstall,Eye To The Telescope,01-01-2005,0.225,0.587,201706,0.767,0,0,0.112,-5.713,1,0.0449,100.38,4,0.664,73,acoustic
19,3PG6V5yuFfo4APiovOQoRv,I Was Born To Love You,Ray LaMontagne,I Was Born To Love You,08-04-2022,0.794,0.65,265843,0.271,6.90E-05,9,0.196,-11.081,1,0.0314,78.036,4,0.21,67,acoustic
20,2D4BSm5Z8Hq5zYbSgJwEOh,She Used To Be Mine,Sara Bareilles,What's Inside: Songs from Waitress,06-11-2015,0.381,0.397,250266,0.303,0,5,0.101,-7.508,1,0.0435,81.05,4,0.172,67,acoustic
21,4oa14QBfWRDfJy2agySy0L,Gravity,Sara Bareilles,Little Voice,03-07-2007,0.834,0.27,232760,0.275,0,0,0.146,-10.357,1,0.0356,168.964,4,0.231,66,acoustic
22,08MFgEQeVLF37EyZ7jcwLc,Pano,Zack Tabudlo,Pano,06-12-2021,0.868,0.375,254400,0.457,0.0145,3,0.191,-7.018,1,0.0315,174.839,3,0.415,75,acoustic
23,1umKFpJdXDtquGCz4oBVDJ,Windows Are Rolled Down,Amos Lee,Mission Bell,2011,0.0682,0.435,237226,0.605,0.00695,8,0.0653,-6.649,1,0.0275,62.962,4,0.541,62,acoustic
24,7K36drJq6lInkW6Kkojucp,American Beauty,Drew Holcomb & The Neighbors,Medicine,27-01-2015,0.844,0.645,158013,0.169,0.00019,9,0.109,-15.744,1,0.0317,167.826,4,0.178,63,acoustic
25,2WZyfujzMweFLnozyUJBkW,Boston,Augustana,All The Stars and Boulevards,2005,0.182,0.404,245933,0.571,2.08E-05,0,0.129,-5.069,1,0.0303,147.01,4,0.29,63,acoustic
26,7aohwSiTDju51QmC54AUba,You And I,Ingrid Michaelson,Be OK,14-10-2008,0.927,0.698,148400,0.285,0,0,0.0883,-7.632,1,0.0553,135.027,4,0.53,63,acoustic
27,61X73CJcpwGIxgQgKEXbw0,You and Me On The Rock (feat. Lucius),Brandi Carlile,In These Silent Days,01-10-2021,0.15,0.568,230098,0.686,1.81E-06,1,0.0881,-6.635,1,0.033,172.075,4,0.725,63,acoustic
28,1U1GtaJeYwGsPgqV9Me5bb,Hold You in My Arms,Ray LaMontagne,Trouble,15-08-2004,0.149,0.504,306200,0.321,0.000107,7,0.147,-13.807,1,0.0316,170.134,3,0.577,62,acoustic
29,7jJH8F3PHlNvxfqEAAfFDl,I Choose You,Sara Bareilles,The Blessed Unrest,16-07-2013,0.105,0.731,218573,0.572,0.00012,6,0.133,-7.889,0,0.0445,154.038,4,0.947,63,acoustic
30,7x4b0UccXSKBWxWmjcrG2T,And I Love Her,Kurt Cobain,Montage Of Heck: The Home Recordings,13-11-2015,0.983,0.616,124933,0.282,0.833,1,0.13,-15.317,1,0.0331,96.638,4,0.435,65,acoustic
31,5JDcQAztvZTIkrWoZihgvC,A Drop in the Ocean,Ron Pope,The Bedroom Demos,04-05-2008,0.785,0.447,220239,0.393,0,5,0.28,-8.65,1,0.038,73.139,3,0.564,67,acoustic
32,0EKBV6GybPtALXUgWqWrym,The Story,Brandi Carlile,The Story,03-04-2007,0.0325,0.544,238493,0.5,3.78E-06,11,0.109,-8.253,1,0.026,93.621,4,0.177,65,acoustic
33,12niARgkwxGsklcEwh6GlG,"Portland, Maine",Donovan Woods,"Hard Settle, Ain't Troubled",26-02-2016,0.764,0.606,203869,0.349,0.306,4,0.112,-13.967,1,0.0319,80.071,4,0.156,66,acoustic
34,11TK5KLtLZUdKr1C549bAw,What Would I Do Without You,Drew Holcomb & The Neighbors,Good Light,19-02-2013,0.883,0.602,172213,0.336,0.0017,8,0.143,-11.106,1,0.0369,90.894,4,0.335,63,acoustic
35,4PuUa8e5s7P3Zv1IdCGIsa,Such A Simple Thing,Ray LaMontagne,Part Of The Light,18-05-2018,0.86,0.522,296386,0.256,0.000806,10,0.142,-11.216,1,0.0258,76.349,4,0.13,65,acoustic
36,3VA8T3rNy5V24AXxNK5u9E,King of Anything,Sara Bareilles,Kaleidoscope Heart,07-09-2010,0.461,0.676,207493,0.762,0,1,0.0574,-4.172,1,0.0351,119.003,4,0.81,61,acoustic
37,7BXW1QCg56yzEBV8pW8pah,Have It All,Jason Mraz,Know.,10-08-2018,0.204,0.643,226106,0.638,0,1,0.0707,-4.947,0,0.0407,82.001,4,0.6,64,acoustic
38,5rwq6R0Uq0BngM3rdmCeNg,Collide - Acoustic Version,Howie Day,Stop All the World Now (Special Edition),04-11-2003,0.827,0.582,277000,0.253,2.95E-05,10,0.091,-11.43,1,0.0259,90.186,4,0.294,67,acoustic
39,0HL3y3bsKSARBSP0qaImwb,Carried Me With You,Mychael Danna,Onward (Original Motion Picture Soundtrack),28-02-2020,0.271,0.639,213732,0.666,0,0,0.111,-7.775,1,0.0636,98.384,4,0.372,61,acoustic
40,6bfPo8Ge3VoD4dEGSDs0R9,Brave as a Noun,AJJ,People Who Can Eat People are the Luckiest People in the World,11-09-2007,0.193,0.492,74960,0.611,0,0,0.691,-6.438,1,0.102,182.529,4,0.933,59,acoustic
41,1CYBnHYYbOAsuDCGa0zrw0,Without a Light,Drew Holcomb & The Neighbors,Without a Light,01-10-2021,0.656,0.493,142200,0.435,0.000327,7,0.118,-12.334,1,0.0423,87.952,4,0.485,60,acoustic
42,0c7iF5fSBYxCuwsAv2z4iI,Green Mountain State,Trevor Hall,Chapter Of The Forest,17-06-2014,0.351,0.693,274632,0.367,2.90E-05,3,0.111,-11.66,1,0.0323,129.879,4,0.286,61,acoustic
43,05pKAafT85jeeNhZ6kq7HT,I Won't Give Up,Jason Mraz,I Won't Give Up,03-01-2012,0.694,0.585,240165,0.303,0,4,0.115,-10.058,1,0.0398,136.703,3,0.142,65,acoustic
44,0qAMjeQFyd1qD0LDiV8gWp,Black Horse And The Cherry Tree,KT Tunstall,Eye To The Telescope,01-01-2005,0.328,0.748,172373,0.786,0,4,0.34,-7.788,0,0.0641,104.833,4,0.917,67,acoustic
45,4tK4ARuilOrBzwVQK73E0Y,The Remedy (I Won't Worry),Jason Mraz,Waiting for My Rocket to Come,15-10-2002,0.041,0.589,256440,0.867,0,10,0.306,-4.523,1,0.0385,94.52,4,0.795,60,acoustic
