,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,6SdkKrqkPUlzJf0AdRyxSt,0.905,0.727,0.398,0.853,0,0.105,-11.804,1,0.0308,94.959,4,0.453
1,78ZHugVlzEzw9WyBVPQl2s,0.303,0.793,0.839,0.888,8,0.316,-12.658,1,0.0531,130.775,4,0.439
2,4NptYvhW8KierhPWKz7kHF,0.389,0.381,0.647,1.02e-05,2,0.972,-10.366,1,0.204,112.376,4,0.513
3,3UuVaWQawvK9K5SOH4ZapU,0.908,0.395,0.612,0.363,11,0.13,-6.45,1,0.0371,76.357,4,0.74
4,0qdLAuvTvJz2nV1PPe7tO8,0.87,0.626,0.277,0,7,0.0894,-9.767,1,0.0422,124.505,4,0.383
5,0rrEyh9qk1C14PEbxCtpWt,0.891,0.782,0.272,7.7e-06,0,0.0855,-9.537,1,0.0492,108.235,4,0.775
6,0SReX1OYCi40CihAbsViVo,0.75,0.373,0.58,4.05e-05,2,0.815,-9.594,1,0.0471,94.392,4,0.518
7,6Icww3IWMZiSdUnCCan9h5,0.808,0.633,0.418,0.00375,2,0.688,-8.528,1,0.0359,123.205,4,0.621
8,69ZpDGbb0Ro4qmsbg7j7kG,0.844,0.496,0.278,0,9,0.13,-8.21,1,0.0537,89.412,4,0.38
9,0rhpoX6wkJld5SX21qpn8s,0.827,0.538,0.492,3.29e-06,2,0.492,-7.837,1,0.0361,153.58,4,0.827
10,3pH2PvsKpYu2Lk5ODgrxEK,0.948,0.349,0.342,0.0019,0,0.313,-9.688,1,0.0321,136.805,4,0.339
11,5mKZga4shFzxkUaJmJlLvQ,0.917,0.36,0.4,1.71e-06,5,0.0615,-9.521,0,0.085,81.599,4,0.488
12,5l8ihBqPbDvQ8CfYuFghZv,0.915,0.381,0.265,1.28e-05,10,0.69,-12.195,1,0.031,115.887,4,0.112
13,5419tPerD82CqdqXxQlijQ,0.658,0.517,0.822,0.0245,7,0.969,-9.37,0,0.112,114.982,4,0.848
14,1MFbZhmpJUGSAXhMbSYVTA,0.635,0.325,0.727,0.000126,2,0.689,-10.257,1,0.105,140.784,4,0.523
15,587r43FR1CZOSdXNs56rVx,0.8,0.465,0.559,1.43e-05,7,0.879,-10.604,1,0.102,126.799,4,0.485
16,7GdpDhiGSAJ1QRG0XrX2DF,0.93,0.394,0.235,0.00196,0,0.887,-13.056,1,0.0375,117.517,4,0.0904
17,46FQTrqnmmoy76aMypJeXD,0.84,0.468,0.492,0,7,0.661,-9.331,1,0.0672,144.038,4,0.538
18,4OhIfumxwVYwcxa92RuUZG,0.275,0.62,0.71,0.00267,0,0.322,-6.183,1,0.0348,135.363,4,0.841
19,1ayteQ0bVKxgq1pKwZajRh,0.897,0.106,0.116,0.0145,5,0.106,-16.659,1,0.0364,84.491,1,0.0719
20,5gw8HNcrqliEw0X6pPrPvG,0.609,0.475,0.579,0,5,0.0756,-4.096,1,0.0334,178.151,4,0.466
21,0CFf87RIQ393zeT1Samm5E,0.0698,0.559,0.748,0,2,0.534,-4.643,1,0.0357,168.047,4,0.885
22,70mhhyvvy8q86cr2qIAmWj,0.0353,0.543,0.767,0.0326,11,0.0895,-8.346,0,0.117,167.734,4,0.812
23,2WEw8oFZiANQzWdGElO3Mf,0.000506,0.309,0.813,0.735,10,0.114,-7.744,0,0.131,85.095,4,0.662
24,74BIp1TJD5FFWgwE05e9So,0.0007,0.387,0.732,0.814,9,0.126,-9.167,1,0.0591,145.293,4,0.129
25,1mFEg96v1DYOYTfXcDVpd1,0.00125,0.314,0.654,0.876,2,0.0826,-7.705,1,0.0457,79.284,4,0.313
26,69aXQyUnUC0BWgATlSWNB2,0.00487,0.411,0.879,0.0446,7,0.104,-6.302,1,0.0468,153.31,4,0.499
27,0NBgmP6Yg5xZYsnIZ0pGdo,0.165,0.565,0.467,0.284,6,0.0808,-10.078,1,0.0303,120.17,4,0.426
28,5tIKR7hREMVBCLHLz0xvsQ,0.0153,0.434,0.936,0.814,5,0.162,-6.229,1,0.0865,116.191,4,0.527
29,7MK2c7qnXEUOl0lVFWEckq,0.00657,0.769,0.656,0.672,9,0.202,-9.682,0,0.0972,141.596,4,0.697
30,2JO3HwMRPeya8bXbtbyPcf,5.24e-05,0.443,0.956,0.825,2,0.135,-6.198,1,0.0511,146.754,4,0.909
31,1zHGxRrFtetIYRmUoO1pxR,0.00527,0.616,0.911,0.0878,2,0.148,-7.241,1,0.0647,156.161,4,0.727
32,378fXXEPNQkx27VOC0YI3x,0.00321,0.365,0.902,0.382,7,0.0938,-6.895,1,0.0565,130.67,4,0.625
33,4fokGJSBrxFIvt01vz1Fbe,0.0566,0.616,0.674,0.513,0,0.0757,-8.096,1,0.0294,149.809,4,0.736
34,1FQPnyeJkvryJka9RUXUn2,2.62e-05,0.4,0.972,0.792,2,0.0765,-6.175,1,0.0653,142.305,4,0.631
35,7EEkRkaPwOJDoMWWjUA2C7,0.0363,0.542,0.845,0.021,0,0.0803,-5.352,1,0.0712,151.566,4,0.714
36,0MYTcPXAAmeKBUpBgtAV0J,0.0463,0.594,0.961,0,6,0.853,-5.443,0,0.338,113.126,4,0.531
37,2eB8n7IbMSd0aoh0UtsRZK,0.732,0.399,0.534,0,4,0.434,-9.931,1,0.122,177.375,4,0.816
38,2rpSE8mvOEHIopPe4mPlxa,0.000289,0.523,0.828,3.71e-05,4,0.552,-4.632,0,0.0297,138.013,4,0.504
39,4hy4fb5D1KL50b3sng9cjw,1.62e-05,0.48,0.875,0.000751,1,0.103,-5.898,1,0.0429,116.754,4,0.826
40,1UA8SS9CMkOUjQq0Prvpzr,0.00017,0.297,0.981,4.33e-05,4,0.106,-4.222,1,0.386,168.281,4,0.0719
41,4b09yzTo7CS5Kp9HpsnQvE,0.904,0.31,0.152,0.0307,5,0.134,-15.369,1,0.0296,85.678,4,0.159
42,2HQWTyTz7VRJ8g0wbXcf7A,0.923,0.438,0.344,0,7,0.107,-8.362,1,0.0333,171.474,4,0.648
43,35eHq3QNgBdbZZ5yPR9Edj,0.127,0.388,0.598,0.000257,6,0.149,-6.281,1,0.0274,107.689,4,0.461
44,2WbKNC4c7OCiSqv4WGR3BN,0.324,0.434,0.59,0.000116,2,0.15,-6.529,1,0.0406,92.97,4,0.661
45,5VlumAeycmMSVt59b7EA4Q,0.0156,0.765,0.927,5.97e-06,5,0.0391,-5.715,0,0.0399,113.326,4,0.927
46,70iw3Y8Kzt4MjLG0mJupd4,0.663,0.374,0.261,0.00145,9,0.328,-10.949,1,0.0308,74.77,4,0.139
47,1HoC4C6VKP2eC4s5Wd6bmf,0.901,0.221,0.197,0.34,2,0.0978,-12.91,0,0.0388,120.094,4,0.0651
48,2UxDxcHEta1qeGCTVXf8zp,0.552,0.278,0.436,0.000578,0,0.124,-8.618,1,0.0282,171.487,3,0.231
49,0GuQcX8wTe8bUZ72ZncR7m,0.00287,0.433,0.787,2.97e-05,8,0.0883,-6.747,1,0.0581,113.363,4,0.562
50,3kd2eIuGDh6GaHfkQxwXOn,0.926,0.273,0.355,0.936,11,0.0534,-10.188,1,0.0311,92.315,3,0.0926
51,5re6mQVWTshoap5znWeh2t,0.9,0.416,0.333,2.96e-06,6,0.684,-12.139,1,0.496,172.639,4,0.191
52,1V6V40pDrQysvgDj1QPJ8L,0.0609,0.555,0.717,3.39e-06,7,0.133,-5.062,1,0.0296,84.96,4,0.478
53,2tV6sjqfGWVilajZZStE1p,0.000621,0.48,0.826,0.0721,7,0.0714,-7.11,0,0.0386,140.013,4,0.459
54,7ttRFB4Dsd6KqmoIWzBhYP,0.000134,0.506,0.906,0,2,0.0497,-4.857,1,0.0764,152.103,4,0.635
55,2Rxk8iMoY7jnuKYk94T0mR,0.00014,0.314,0.983,0.000487,2,0.282,-3.228,1,0.12,184.084,4,0.516
56,3kmSzP8JUM4kUwPWbOFwqA,0.123,0.793,0.91,0.00342,9,0.115,-2.009,0,0.034,124.991,4,0.423
57,3FUVoETgAZCW56PmBW9ydP,0.000998,0.618,0.933,0.853,5,0.323,-6.419,0,0.0464,136.005,4,0.683
58,4O5OpfC7YK8hSWPUNcGJ3a,0.00225,0.579,0.917,0.00168,0,0.0464,-5.546,1,0.0545,94.995,4,0.327
59,5x3Lmmd3HoxBFd0alASWfJ,2.23e-05,0.559,0.698,0.16,9,0.0821,-8.176,1,0.0411,140.003,4,0.174
60,1TF01K7ZwkqbwNxcm5DUK3,0.00224,0.26,0.975,1.48e-05,4,0.193,-3.7,0,0.0897,103.479,4,0.21
61,3G3PQdcOUZTCgvhvfNGfbv,0.00239,0.419,0.909,1.68e-05,0,0.24,-10.258,1,0.0639,142.217,4,0.494
62,1pLTD71O0zvnAYHXn2uC9K,0.00317,0.42,0.922,0.13,9,0.0484,-4.304,1,0.0437,146.339,4,0.582
63,4m7RdQHuVbvqcAWwz8pBFJ,0.000101,0.538,0.947,0.614,8,0.0642,-7.32,1,0.0647,150.002,4,0.655
