Accousticness,Album Name,Artist Name,Dancebility,Energy,Genre,Instrumentalness,Key,Liveliness,Loudness,Mode,Popularity,Release Date,Sno,Song Duration,Song ID,Song Name,Speechiness,Tempo,Time Signature,Valence,Happy_score
0.00747,Old Skool Masters - S3RL,S3RL,0.429,0.988,happy,0.0486,4,0.169,-5.241,0,56,2007,9000,363428,3G1SVODcssMmS5YM5G3tun,Pretty Rave Girl,0.14,175.019,4,0.312,0.9947426365853479
0.198,Wanna Play?,The Prophet,0.569,0.996,happy,0.0114,5,0.707,-0.45,1,65,22-05-2019,9001,201451,6iBL6TOzsO75Yz0cG1MO0o,Wanna Play?,0.224,100.02,3,0.461,0.9578808901957976
0.00792,Mtc - Single,S3RL,0.485,0.979,happy,0.00171,2,0.387,-0.943,1,57,15-02-2012,9002,260530,56nLHj9HJr3xpbLarnr0l4,Mtc,0.116,175.074,4,0.432,0.9930364934323631
0.0316,Us Against The World,Darren Styles,0.531,0.896,happy,0.00723,1,0.0297,-3.297,0,61,03-04-2017,9003,271058,0L0DM33NAe6PjQ1BB4cEjJ,Us Against The World,0.107,169.955,4,0.34,0.9250584467188316
0.0123,Pika Girl - Single,S3RL,0.592,0.991,happy,3.8e-06,1,0.361,-1.827,1,53,11-08-2011,9004,225542,5xnLp83K91G0Qi9zPtOSnG,Pika Girl,0.144,175.047,4,0.523,0.9851862122258712
0.000595,DLMD,Darren Styles,0.487,0.99,happy,0.843,0,0.331,-2.282,1,59,16-04-2020,9005,160212,2d9EgBM9F09IkEG8t9T6L8,DLMD,0.094,160.046,4,0.161,0.9999279491689935
0.0102,DYSYLM,Gammer,0.532,0.878,happy,0.201,7,0.169,-3.933,0,56,15-06-2020,9006,176051,4tV6ku4jEYw9L5gZuNpCbP,DYSYLM,0.215,169.962,4,0.385,0.9801437778519336
0.000799,Hentai,S3RL,0.496,0.76,happy,0.00285,4,0.368,-4.281,1,55,02-12-2015,9007,185830,6RvTtRyn7zVayLUWAJxd5Z,Hentai,0.393,174.944,4,0.422,0.7857242280038936
0.00453,Bass Slut / It Went / Crazy Ass Bitch,S3RL,0.511,0.987,happy,0.00214,1,0.142,-3.182,1,50,15-02-2011,9008,329142,51czegKF9UbmUZkp8etKj2,Bass Slut - Original Mix,0.171,174.996,4,0.521,0.9833433140235703
0.000142,Berserk,S3RL,0.53,0.993,happy,0.222,9,0.0712,-1.926,1,51,06-06-2018,9009,162461,4OqkZC8lvPnVayma2QvRBW,Berserk,0.419,97.53,3,0.201,0.9902573057165045
