mean_fit_time,[1.18718491 1.56545386 1.865518   1.16948767 1.5640265  1.85139956]
std_fit_time,[0.02051212 0.007      0.02115587 0.00712497 0.00864247 0.01330928]
mean_score_time,[0.03922    0.05228539 0.06435733 0.04003677 0.05244899 0.06177197]
std_score_time,[0.00065275 0.00073553 0.00629784 0.00272957 0.00184937 0.00351813]
param_max_features,['sqrt' 'sqrt' 'sqrt' 'log2' 'log2' 'log2']
param_n_estimators,[120 160 190 120 160 190]
params,[{'max_features': 'sqrt', 'n_estimators': 120}, {'max_features': 'sqrt', 'n_estimators': 160}, {'max_features': 'sqrt', 'n_estimators': 190}, {'max_features': 'log2', 'n_estimators': 120}, {'max_features': 'log2', 'n_estimators': 160}, {'max_features': 'log2', 'n_estimators': 190}]
split0_test_score,[0.81  0.811 0.809 0.81  0.811 0.809]
split1_test_score,[0.795 0.798 0.793 0.795 0.798 0.793]
split2_test_score,[0.798 0.803 0.806 0.798 0.803 0.806]
split3_test_score,[0.814 0.81  0.805 0.814 0.81  0.805]
split4_test_score,[0.782 0.788 0.79  0.782 0.788 0.79 ]
mean_test_score,[0.7998 0.802  0.8006 0.7998 0.802  0.8006]
std_test_score,[0.01139122 0.00846168 0.00760526 0.01139122 0.00846168 0.00760526]
rank_test_score,[5 1 3 5 1 3]
